"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C6","FP_0603_CAP_080","566.929mil","1133.307mil","566.929mil","1133.307mil","602.362mil","1133.307mil","T","180.00","100nF"
"C8","FP_0603_CAP_080","1051.181mil","1554.567mil","1051.181mil","1554.567mil","1051.181mil","1590mil","T","270.00","100nF"
"SW1","FP_TACTBTN","1635.827mil","1540.787mil","1724.409mil","1719.921mil","1724.409mil","1719.921mil","T","0.00","SW1"
"U1","SUPPLY_SOT223","421.26mil","1259.291mil","421.26mil","1259.291mil","304.134mil","1349.842mil","T","360.00","LD1117xx"
"C11","FP_0603_CAP_080","1413.386mil","1259.291mil","1413.386mil","1259.291mil","1377.953mil","1259.291mil","T","0.00","100nF"
"C12","FP_0603_CAP_080","1452.756mil","1692.362mil","1452.756mil","1692.362mil","1452.756mil","1656.929mil","T","90.00","1uF"
"C13","FP_0603_CAP_080","1381.89mil","1692.362mil","1381.89mil","1692.362mil","1381.89mil","1656.929mil","T","90.00","100nF"
"C16","FP_0603_CAP_080","1700.787mil","1156.929mil","1700.787mil","1156.929mil","1700.787mil","1192.362mil","T","270.00","100nF"
"R7","FP_0603_RES","1629.921mil","1156.929mil","1629.921mil","1156.929mil","1629.921mil","1121.496mil","T","90.00","10k"
"P1","HDR1X10","987.008mil","1814.409mil","1437.008mil","1814.409mil","1437.008mil","1814.409mil","T","180.00","Header 10"
"P2","FP_CONN8_SZK_ALLO","366.142mil","1601.811mil","366.142mil","1601.811mil","316.142mil","1751.811mil","T","270.00","Header 4X2"
"D1","FP_0805_LED_RED","1314.961mil","1172.677mil","1314.961mil","1133.307mil","1314.961mil","1129.37mil","T","90.00","LED_RED"
"D2","FP_0805_LED_RED","1527.559mil","1172.677mil","1527.559mil","1133.307mil","1527.559mil","1129.37mil","T","90.00","LED_RED"
"D3","FP_0805_LED_RED","1688.976mil","1830.158mil","1649.606mil","1830.158mil","1645.669mil","1830.158mil","T","0.00","LED_RED"
"R5","FP_0603_RES","1551.181mil","1830.158mil","1551.181mil","1830.158mil","1515.748mil","1830.158mil","T","0.00","330R"
"C1","SWD","889.764mil","1152.992mil","889.764mil","1152.992mil","689.764mil","1152.992mil","T","90.00","SWD"
"R3","FP_0603_RES","1385.827mil","1160.866mil","1385.827mil","1160.866mil","1385.827mil","1196.299mil","T","270.00","330R"
"R4","FP_0603_RES","1456.693mil","1160.866mil","1456.693mil","1160.866mil","1456.693mil","1196.299mil","T","270.00","330R"
"RX","FP_0603_RES","1000mil","1503.386mil","1000mil","1503.386mil","1035.433mil","1503.386mil","B","180.00","0R"
"TX","FP_0603_RES","1000mil","1432.52mil","1000mil","1432.52mil","1035.433mil","1432.52mil","B","180.00","0R"

