"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R4","FP_0603_RES","393.701mil","8720.472mil","393.701mil","8720.472mil","393.701mil","8755.905mil","B","270.00","75K"
"R3","FP_0603_RES","590.551mil","8715.788mil","590.551mil","8715.787mil","590.551mil","8680.354mil","T","90.00","1K"
"R2","FP_0603_RES","118.11mil","8759.843mil","118.11mil","8759.843mil","82.677mil","8759.843mil","B","360.00","220K"
"R1","FP_0603_RES","118.11mil","8676.417mil","118.11mil","8676.417mil","82.677mil","8676.417mil","B","360.00","75K"
"P1","HDR1X3","354.331mil","8873.268mil","254.331mil","8873.268mil","254.331mil","8873.268mil","T","360.00","Header 3"
"LDO1","SUPPLY_SOT23-5","314.961mil","8715.787mil","314.961mil","8715.787mil","352.362mil","8768.031mil","T","270.00","LP2980AIM5-3.3"
"C5","FP_0603_CAP_080","118.11mil","8715.787mil","118.11mil","8715.787mil","118.11mil","8680.354mil","T","90.00","100nF"
"C4","FP_0603_CAP_080","629.921mil","8715.787mil","629.921mil","8715.787mil","629.921mil","8680.354mil","B","90.00","100nF"
"C3","FP_0603_CAP_080","511.811mil","8715.787mil","511.811mil","8715.787mil","511.811mil","8751.22mil","T","270.00","4.7uF"
"C2","FP_0603_CAP_080","433.071mil","8715.787mil","433.071mil","8715.787mil","433.071mil","8751.22mil","T","270.00","100nF"
"C1","FP_0603_CAP_080","196.85mil","8715.787mil","196.85mil","8715.787mil","196.85mil","8680.354mil","T","90.00","4.7uF"
"U1","ANALOG_SOT23-5","275.59mil","8716.319mil","275.591mil","8715.787mil","238.189mil","8768.031mil","B","270.00","MCP6001"

